trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,8,-9.608904404336116,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",25,0,33.302020019934886,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",20,5,14.619759099715154,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",25,18,13.931345259463082,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",35,3,6.992227428648547,"{0: 30, 1: 1, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",20,10,18.163202107288225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",35,23,22.83065344288385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",25,20,10.147958979654883,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",25,8,34.743208424621294,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,20,12.325826138759473,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,6,25.637897483010097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.046069798986951946}",25,17,16.191547124505718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.043766309037604346}",25,13,23.8879573087451,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.04157799358572413}",20,4,15.383174649860209,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.03949909390643792}",25,18,14.967783303372372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.03752413921111602}",20,14,12.989067369172039,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03564793225056022}",30,12,37.32665102686072,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.033865535638032206}",25,15,19.745609664055884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.03217225885613059}",35,18,31.839463841235737,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.030563645913324063}",30,18,23.418813708286716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.02903546361765786}",25,7,34.576975171653615,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.027583690436774964}",20,3,34.3605792353068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.026204505914936217}",20,6,24.86329023736388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.024894280619189402}",30,24,10.028176907842392,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.023649566588229934}",20,8,25.217511142385924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.022467088258818435}",30,7,44.65506693888546,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.02134373384587751}",25,13,23.426902952698082,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
